ÐòºÅ,gender,age,educationalbacground,judge,IS1,IS2,SM1(WEIBO),SM2(REDBOOK),SM3(TIKTOK),SM4(KAUISHOU),SM5(WECHAT),Print Media,Mass Media,Personal Network,LLM,IL1,TIL1,IL2,TIL2,IL3,TIL3,IA1,TIA1,IA2,TIA2,IA3,TIA3,ID1,TID1,ID2,TID2,ID3,TID3
275,2,1,1,1,3,2,3,3,2,2,6,3,1,3,2,1,1,3,2,2,1,1,1,3,2,2,5,3,3,2,3,1,1
276,1,3,2,1,1,2,2,2,4,1,1,4,1,3,1,2,5,2,3,1,3,1,1,1,5,3,1,2,2,4,2,2,1
277,1,2,1,1,5,1,2,6,4,1,1,6,1,1,3,3,3,3,3,4,2,3,2,2,5,1,1,3,3,1,1,3,5
278,2,2,4,1,2,2,6,4,6,2,4,5,1,4,1,3,4,3,5,5,5,4,4,3,3,5,4,5,5,5,4,4,5
279,1,1,1,1,5,1,5,3,3,6,5,3,6,1,2,4,3,5,4,4,4,4,5,4,5,5,4,5,4,4,3,5,4
280,1,2,3,1,3,1,2,2,2,5,4,1,6,6,4,1,1,3,1,1,1,2,2,1,2,1,1,3,3,3,1,3,5
281,1,3,5,1,3,2,1,2,1,5,2,1,5,2,2,1,5,1,1,3,1,1,1,2,3,1,1,3,3,2,5,2,2
282,2,2,3,1,1,2,4,1,1,1,1,4,3,1,6,2,1,4,1,3,2,5,2,2,2,1,2,2,2,1,3,3,2
283,2,2,2,1,2,3,6,1,3,6,2,1,4,4,3,4,4,4,5,4,5,5,5,3,5,5,3,4,4,4,5,4,3
284,1,5,4,1,5,1,4,1,4,5,5,3,4,5,3,3,4,3,1,3,1,2,2,3,1,3,3,1,2,4,1,1,1
285,1,1,1,1,3,3,5,6,5,6,5,6,4,4,1,5,4,5,3,5,3,5,4,5,4,5,4,4,5,4,4,4,4
286,2,4,2,1,5,3,6,5,1,6,2,1,6,2,4,2,2,5,4,3,2,3,4,1,5,2,1,1,2,3,1,3,5
287,1,2,4,1,2,3,3,1,3,6,3,4,5,4,4,3,3,4,3,3,1,3,1,3,1,1,1,1,1,3,1,3,1
288,2,2,2,1,2,3,1,3,2,1,1,5,6,4,2,1,5,4,2,1,3,5,1,2,2,3,1,3,3,3,1,4,5
289,1,6,2,1,5,1,2,3,4,3,2,1,1,2,1,1,2,2,2,1,1,3,3,1,3,1,1,3,2,3,3,3,1
290,1,4,3,1,3,1,5,3,1,1,6,6,1,5,4,5,4,4,4,5,5,5,4,5,5,5,4,4,5,4,5,5,4
291,1,6,3,1,1,2,2,5,4,2,3,6,6,2,2,5,5,1,2,1,2,2,3,2,1,1,2,3,1,2,3,2,1
292,1,6,4,1,3,2,1,1,2,2,6,4,6,6,1,1,2,1,3,1,1,1,2,5,2,2,5,2,3,1,2,1,2
293,1,5,1,1,3,1,3,3,3,3,3,4,5,1,4,2,1,1,3,1,3,1,1,3,3,1,1,5,4,3,5,3,5
294,1,3,3,1,4,1,6,5,5,2,2,1,5,5,1,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,5,5
295,2,4,3,1,3,3,1,5,6,1,3,3,1,5,6,5,5,4,4,4,4,5,5,5,5,4,3,4,4,4,4,5,4
296,1,2,2,1,1,5,2,1,5,1,6,6,3,3,4,1,5,4,4,2,5,3,1,3,3,2,1,1,1,1,1,1,1
297,1,3,4,1,2,3,1,5,2,4,3,1,1,4,1,4,4,4,4,5,5,4,4,4,5,5,4,5,5,4,5,5,4
298,2,4,3,1,3,2,3,1,2,3,1,5,4,2,4,3,2,2,2,1,2,3,4,2,2,2,5,2,1,5,1,1,1
299,1,2,3,1,2,3,2,6,1,1,3,6,4,6,3,5,1,5,2,2,1,2,4,1,3,1,1,1,3,3,1,1,1
300,1,3,4,1,5,3,4,6,3,1,2,4,6,6,3,5,2,4,3,1,1,1,5,3,1,5,3,3,2,2,2,2,1
301,1,2,2,1,5,1,1,6,2,3,4,3,5,6,2,2,1,1,3,1,1,3,3,1,2,5,2,3,3,5,2,3,3
302,2,2,2,1,3,5,6,6,3,1,2,6,2,5,1,3,5,5,3,4,4,5,4,4,5,3,5,5,5,5,4,3,5
303,2,1,2,1,3,3,3,5,4,2,1,3,5,3,2,3,3,1,1,1,2,2,3,2,5,3,2,3,3,2,2,2,3
304,2,2,3,1,5,4,1,3,1,2,3,5,6,2,2,2,5,4,1,1,1,3,5,3,1,5,1,3,1,2,5,5,1
305,1,5,2,1,2,3,1,1,2,1,3,3,4,2,1,3,1,3,1,3,3,2,2,2,3,3,3,3,3,1,3,5,1
306,2,5,3,1,2,5,2,4,6,5,1,1,1,4,1,4,5,3,5,4,4,5,4,4,5,5,4,4,5,3,4,5,5
307,2,3,1,1,2,1,2,4,5,1,6,3,4,1,3,4,3,4,5,3,5,5,5,5,5,4,5,4,3,3,4,4,5
308,1,4,1,1,2,1,4,3,4,3,2,4,4,2,3,2,1,1,4,1,2,3,1,2,5,1,3,1,1,3,2,2,2
309,1,2,4,1,1,3,2,1,2,1,1,6,1,1,4,3,3,3,2,4,1,1,3,2,2,3,1,5,3,3,2,2,3
310,1,5,3,1,2,2,2,6,2,5,4,1,5,1,4,1,1,2,2,3,1,1,3,1,3,2,3,3,1,1,1,2,2
311,2,5,4,1,4,5,6,4,6,6,3,2,4,6,1,3,5,5,5,5,4,5,3,4,3,4,5,4,5,4,5,4,5
312,2,2,2,1,1,1,6,1,1,1,5,2,1,5,6,5,5,5,4,4,3,5,3,4,5,4,4,5,4,4,5,4,4
313,1,5,3,1,2,3,6,4,1,5,3,2,5,5,1,1,1,4,2,3,1,4,3,3,3,1,4,3,2,3,3,1,1
314,2,2,3,1,2,3,4,1,1,6,4,3,1,1,4,3,1,1,1,2,1,2,1,3,1,5,2,5,3,4,5,1,1
315,2,4,4,1,2,2,4,2,3,6,2,6,6,6,1,2,5,1,4,2,1,1,1,1,2,1,1,2,1,2,2,5,2
316,2,4,1,1,5,4,5,1,4,2,2,2,1,5,1,4,4,5,5,4,5,3,3,4,4,5,3,4,5,4,3,5,5
317,1,1,2,1,2,4,3,6,3,3,2,4,5,1,6,1,3,2,3,3,3,3,2,2,1,2,1,2,2,4,3,3,2
318,1,5,1,1,2,3,1,3,1,3,3,3,1,3,6,2,5,2,3,2,2,3,3,1,2,3,1,1,4,3,3,1,3
319,2,2,2,1,1,1,2,2,4,3,4,1,3,2,3,1,2,3,2,3,3,1,3,5,5,3,3,5,1,3,2,1,2
320,2,3,2,1,2,1,2,2,2,3,4,3,3,3,1,5,1,2,1,1,1,3,3,2,1,3,1,2,2,1,1,3,2
321,1,2,3,1,2,5,6,2,6,2,5,6,1,5,2,2,2,1,1,4,1,4,2,1,1,4,2,3,1,1,1,2,1
322,1,5,1,1,3,3,4,2,3,6,1,1,3,2,6,3,3,4,2,5,2,1,2,3,3,2,5,3,1,3,2,3,2
323,2,1,2,1,5,2,1,2,3,3,6,6,3,6,2,1,5,3,1,3,3,2,1,3,1,1,5,2,4,2,3,5,1
324,1,3,2,1,2,3,3,3,1,5,4,1,1,2,2,3,3,4,3,4,3,3,2,5,3,2,1,5,2,1,2,3,5
325,1,3,2,1,5,3,4,1,3,1,2,4,1,3,1,1,1,1,1,3,5,3,3,2,3,2,3,5,4,3,2,2,3
326,2,2,5,1,3,5,2,3,6,1,6,5,5,5,3,3,5,5,5,5,5,4,5,4,4,4,3,5,4,4,3,5,3
327,2,5,3,1,3,2,6,3,6,3,3,2,2,5,1,4,5,4,3,4,4,4,5,5,4,4,5,4,5,5,4,4,4
328,2,3,4,1,3,2,6,6,6,1,6,6,1,5,1,1,1,1,1,3,3,2,2,2,4,4,3,1,4,2,1,3,2
329,2,3,1,1,1,2,4,1,2,1,3,1,4,2,4,1,3,1,2,1,1,1,2,2,1,1,3,2,3,3,3,1,1
330,2,5,1,1,3,2,3,1,1,2,1,3,4,4,1,1,2,2,4,2,2,2,4,3,3,5,5,3,1,3,2,3,2
331,2,2,5,1,3,2,4,1,2,3,4,6,1,2,2,5,2,1,1,5,3,1,4,1,2,5,3,1,1,4,3,4,3
332,2,5,2,1,3,5,1,1,6,4,2,4,3,5,1,3,2,3,3,3,2,1,2,4,1,3,2,4,3,2,4,1,2
333,2,1,2,1,5,1,1,4,3,6,5,6,2,5,1,1,4,4,3,1,3,2,4,4,1,1,2,1,2,1,3,1,4
334,1,4,3,1,2,1,2,1,6,6,5,1,1,4,5,5,3,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4
335,1,3,2,1,1,3,4,2,2,5,4,4,6,6,3,2,3,3,4,3,5,2,2,5,3,2,1,5,1,5,1,1,2
336,2,5,3,1,2,1,2,6,2,1,3,1,1,2,3,3,2,1,2,3,1,2,1,1,3,1,1,1,3,2,3,3,1
337,2,6,2,1,2,3,4,3,2,2,1,5,5,3,1,3,2,2,1,5,1,3,1,2,3,2,1,3,3,4,1,2,5
338,1,6,3,1,1,1,1,5,3,2,3,5,3,3,1,2,5,3,2,5,3,5,2,1,2,1,1,2,2,2,5,1,1
339,1,2,3,1,2,5,1,4,3,5,3,1,6,6,3,2,2,1,2,3,4,1,3,2,4,2,2,1,2,4,4,1,1
340,2,2,2,1,1,1,4,3,3,3,3,1,6,2,1,1,2,3,3,3,1,2,1,1,1,3,1,2,1,3,3,5,5
341,1,3,2,1,1,4,4,2,1,2,2,6,4,3,1,5,2,2,2,5,2,5,2,2,1,2,2,5,1,1,1,1,1
342,2,3,3,1,1,2,6,1,1,1,6,4,6,2,1,1,2,1,1,2,3,3,2,3,3,3,1,5,1,1,3,4,3
343,2,4,1,1,5,2,4,3,2,3,1,1,4,3,3,2,2,2,4,2,1,2,3,1,5,1,1,2,1,3,3,4,1
344,2,3,4,1,1,4,2,4,5,2,6,1,6,5,2,4,5,5,3,5,3,5,4,5,3,4,5,4,4,4,5,3,5
345,1,4,3,1,1,4,1,6,5,5,2,1,1,4,3,3,2,4,2,4,1,2,3,2,5,3,1,3,4,2,3,2,1
346,1,3,3,1,3,2,2,1,2,3,3,5,3,6,6,1,3,1,2,3,1,2,1,1,2,2,5,1,4,1,3,4,3
347,2,3,3,1,4,5,5,4,6,2,6,2,1,5,1,4,4,3,5,5,5,4,5,4,3,5,5,5,3,4,5,5,5
348,2,2,4,1,5,3,6,4,5,4,5,6,1,4,2,4,4,5,4,5,4,5,5,4,3,3,3,5,5,5,4,3,4
349,1,3,4,1,2,3,1,5,1,2,3,6,6,5,2,5,5,4,5,5,5,5,4,3,4,4,3,5,4,5,5,4,5
350,2,2,3,1,3,2,4,1,1,1,4,1,6,2,1,1,1,3,3,1,1,3,4,2,1,5,5,1,2,3,1,2,5
351,1,5,2,1,5,2,2,3,5,2,6,6,5,1,3,2,1,1,2,1,1,1,3,1,1,3,5,5,3,1,1,1,5
352,1,5,3,1,4,5,1,5,6,4,5,1,5,1,2,5,5,3,4,4,3,5,4,5,5,5,5,4,4,4,5,5,5
353,2,2,2,1,3,3,6,3,6,4,5,6,2,4,4,5,4,3,5,3,5,4,3,5,5,3,4,3,5,3,3,5,5
354,1,3,2,1,3,3,2,3,5,1,2,6,2,5,1,5,4,4,3,4,4,3,3,5,5,4,4,4,4,4,4,5,5
355,2,5,5,1,4,1,1,3,5,1,2,1,1,5,1,4,3,4,3,3,3,4,4,5,5,3,3,3,5,4,4,5,5
356,1,1,1,1,2,3,6,3,6,3,3,2,2,5,3,4,5,5,4,4,5,4,5,5,3,5,3,5,5,5,5,5,4
357,1,3,3,1,2,3,5,3,4,5,6,3,6,5,2,1,3,3,3,2,1,3,2,2,1,2,3,4,1,1,4,1,3
358,1,5,2,1,3,4,1,1,6,5,3,1,5,5,3,4,5,3,5,5,4,5,5,5,5,5,4,5,3,4,4,4,4
359,2,2,2,1,1,3,1,6,3,5,1,1,5,5,3,4,5,5,5,4,4,5,3,5,5,5,4,5,5,4,3,5,4
360,2,1,2,1,2,1,6,5,3,1,5,2,6,4,3,2,2,1,2,2,3,1,3,3,3,2,1,1,1,2,4,3,3
361,1,3,2,1,4,1,1,5,3,1,6,1,6,2,1,4,3,3,3,1,3,2,2,1,1,4,2,1,1,3,3,1,1
362,1,3,1,1,4,5,1,6,1,4,4,1,6,2,5,3,4,3,5,5,4,3,4,3,5,4,5,4,5,5,3,4,4
363,2,2,3,1,3,1,4,4,6,1,5,3,2,4,1,4,4,5,4,4,5,5,4,4,5,4,5,3,5,5,5,4,4
364,2,5,1,1,5,5,3,1,3,1,3,6,2,4,2,4,4,5,4,5,4,4,5,5,4,5,4,3,4,5,5,5,5
365,2,3,4,1,2,5,2,6,5,6,2,1,4,5,2,5,3,4,5,5,5,4,3,3,5,4,5,5,5,5,5,4,4
366,1,5,4,1,4,1,1,1,3,4,4,1,1,6,1,4,5,3,3,4,4,4,4,5,4,4,5,4,5,5,3,5,5
367,2,3,4,1,3,5,1,3,1,2,3,1,2,5,3,4,4,5,5,4,3,3,4,4,5,3,4,5,4,5,5,5,5
368,1,3,2,1,5,1,6,3,6,2,5,1,6,5,2,3,4,3,4,5,5,3,5,4,5,5,4,4,4,3,5,5,4
369,1,1,2,1,3,2,3,6,5,6,2,6,5,4,2,5,5,5,4,5,5,4,4,3,4,3,4,4,4,4,5,5,5
370,1,2,4,1,4,2,2,1,3,5,6,6,1,4,1,4,4,5,4,5,5,4,3,4,4,4,5,4,5,5,5,4,4
371,1,2,4,1,1,5,6,3,5,1,3,2,1,4,1,5,5,5,4,5,3,5,5,4,4,4,5,4,5,5,5,5,4
372,1,2,4,1,4,1,1,4,3,6,5,3,1,4,2,4,5,5,5,4,4,4,4,3,5,4,5,4,5,5,5,5,5
373,1,4,3,1,2,3,5,4,5,6,6,1,5,5,1,4,4,3,5,4,4,3,3,5,3,4,4,5,4,5,4,3,5
374,1,4,4,1,4,5,3,3,3,4,2,1,2,5,1,3,3,2,1,1,3,1,1,4,3,1,1,2,1,1,1,3,2
375,2,4,3,1,3,3,6,2,5,2,3,6,1,4,5,4,5,5,5,4,4,5,4,4,5,5,4,4,4,5,5,3,4
376,2,2,3,1,3,4,6,1,5,1,3,1,1,5,6,1,2,1,2,1,2,2,2,2,4,2,1,3,3,1,3,1,2
377,2,6,2,1,3,1,1,2,6,5,4,3,5,5,2,3,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,4,5
378,1,6,1,1,4,5,2,4,3,1,3,3,4,6,2,4,5,4,4,5,5,4,5,3,4,4,5,5,5,5,4,4,5
379,2,3,4,1,5,3,5,6,6,2,4,3,5,6,2,4,5,5,3,5,3,5,5,4,4,3,3,5,5,4,3,4,4
380,1,5,3,1,4,3,1,1,4,6,5,6,1,4,2,3,3,4,5,5,4,4,4,5,4,3,3,5,3,5,5,3,4
381,1,3,3,1,3,5,1,6,3,4,4,2,1,5,2,4,3,5,4,4,4,5,4,5,5,5,3,4,4,5,5,5,4
382,1,4,3,1,5,4,1,3,5,1,3,6,2,5,6,5,4,5,5,5,4,4,5,5,4,5,5,3,5,5,5,3,4
383,1,5,5,1,4,5,1,6,6,4,2,6,4,1,6,4,5,4,5,4,4,5,5,4,4,5,4,3,3,5,3,4,3
384,2,5,3,1,2,4,6,5,3,4,3,1,6,4,1,4,5,4,5,5,5,5,4,5,3,3,5,5,5,4,4,5,4
385,2,3,3,1,3,1,6,5,2,4,3,2,4,5,4,4,3,4,3,4,5,5,5,4,4,5,4,3,4,4,5,4,4
386,2,3,2,1,4,1,6,5,5,6,3,6,4,1,1,3,4,5,5,4,4,3,5,4,5,3,5,4,4,4,5,5,4
387,2,3,4,1,4,2,1,6,4,6,5,1,3,5,4,4,3,4,4,3,3,5,5,4,5,5,4,4,3,4,5,4,5
388,2,3,4,1,3,1,2,6,6,6,2,1,2,6,4,3,5,3,3,5,4,5,5,5,4,4,3,3,5,5,4,4,5
389,2,2,2,1,3,5,6,4,1,5,6,1,2,5,1,1,2,3,2,2,3,1,1,1,3,1,1,4,4,1,2,1,3
390,1,4,4,1,5,3,1,3,6,1,5,6,4,4,4,3,4,3,4,5,3,4,5,4,4,4,5,5,5,5,3,5,3
391,2,1,2,1,5,5,6,6,5,6,5,2,1,5,2,4,4,3,4,5,5,5,3,5,5,5,5,4,4,4,5,3,5
392,2,2,4,1,4,3,3,1,4,2,2,6,5,4,3,5,3,3,4,4,4,5,4,3,4,3,4,5,5,4,4,5,5
393,2,2,4,1,2,3,6,1,5,1,5,6,1,5,2,5,5,5,5,5,5,5,5,4,4,5,3,4,5,4,5,3,5
394,2,1,2,1,2,1,2,6,3,6,2,3,1,1,2,5,3,5,4,5,5,5,3,3,5,4,3,5,3,5,4,5,5
395,2,2,4,1,1,1,1,5,3,1,2,4,4,4,2,4,3,5,4,4,4,5,5,5,4,5,5,5,4,4,5,4,5
396,2,2,4,1,3,3,4,5,3,6,3,6,6,6,6,3,3,2,3,2,1,2,2,1,2,3,2,4,3,1,3,2,2
397,1,2,4,1,4,3,6,1,3,6,6,3,5,5,3,3,4,3,5,5,5,4,5,5,5,5,5,4,5,5,3,4,4
398,2,4,3,1,4,3,1,5,6,1,2,1,2,4,4,2,4,2,2,3,2,3,2,3,1,2,1,2,2,1,2,2,3
399,2,2,2,1,2,3,6,6,3,1,4,2,2,4,3,4,5,4,3,5,3,3,4,4,5,4,4,5,5,4,5,5,4
400,1,4,3,1,4,5,4,3,6,3,6,3,2,4,1,5,4,4,4,4,5,5,5,5,5,5,4,5,3,5,5,4,3
401,1,4,3,1,3,5,4,1,5,1,3,3,1,2,2,4,5,5,4,5,5,4,5,3,4,5,4,5,4,3,5,3,3
402,2,1,1,1,5,5,2,1,3,4,6,1,6,4,4,1,3,1,4,2,2,4,2,1,1,1,1,2,4,1,2,1,2
403,2,2,1,1,3,2,6,6,3,1,3,6,1,6,1,2,1,2,4,1,2,2,4,3,2,1,2,1,1,1,3,2,2
404,1,3,3,1,3,1,1,4,6,6,3,6,4,6,3,4,3,4,5,5,4,5,4,5,3,4,4,5,4,5,5,5,5
405,1,4,4,1,4,1,5,4,5,1,5,1,5,2,2,5,5,4,4,4,3,3,5,4,4,4,4,5,3,4,4,4,5
406,2,3,4,1,4,2,5,5,1,1,2,6,6,2,4,5,5,4,3,5,4,5,5,5,5,5,5,5,5,4,5,5,5
407,2,2,4,1,4,5,2,5,6,1,1,6,4,4,3,5,5,5,5,5,5,3,5,4,3,5,4,5,5,5,5,5,5
408,2,3,3,1,4,3,2,3,6,1,1,1,6,4,2,5,4,4,5,4,3,5,5,3,5,4,5,5,5,4,4,3,4
409,1,4,3,1,1,4,6,4,3,1,4,1,1,5,3,5,5,5,4,3,5,4,5,5,3,3,3,4,4,3,5,4,5
410,1,4,3,1,2,1,1,1,2,4,6,6,4,4,4,5,5,4,4,4,4,3,3,5,5,4,5,5,5,5,4,5,5
411,1,1,2,1,3,1,1,6,3,1,2,6,5,5,1,5,5,4,4,5,5,4,5,3,5,4,3,5,3,5,5,3,4
412,2,5,2,1,4,1,5,3,5,6,3,6,6,5,6,5,5,5,3,4,3,5,5,5,5,4,4,5,4,4,4,4,4
